,Review,Label
35,stay one night perfect need get train ella offer clean comfortable place stay long journey nothing,positive
36,great location walk distance locations kandy comfortable clean accommodation helpful staff fast response,positive
37,comfortable clean roomswifi poor,neutral
38,convenient place walk distance important place kandy include sacred tooth relic staff friendly always readily available help us breakfast nicely arrange combination sri lankan western cuisine dreadful wifi speed,negative
39,bed comfy bed good iron machine,positive
40,friendly service walk distance main bus stop kandy railway station,positive
41,plenty hot water bite hot miss sri lankathe breakfast somewhat limit choice available nice,positive
42,central location facilities good receptionist check honest keep money hand error,positive
43,good breakfast central comfortable bed clean bathroom modern shower could need new wall paint renewals decoration,neutral
44,hotel good location near tooth temple lake really nice coffee place nearby,positive
45,hotel limit park however inform front desk prior arrival reserve park slot,neutral
46,central hotel kandy perfect location spacious nice room good price,positive
47,convenient stationwas,positive
48,convenient location centre kandy large room good facilities include kettle handy day laundry service great time saver breakfast choice good food particularly hot even early arrival much good money,positive
49,clean functional hotel center kandy complaints good value money,positive
50,excellent location convenient travelers clean tidysome service bite late example ask iron take minute deliver room,neutral
51,good location confortable nice stay hotel pretty much new everything ok breakfast,positive
52,bed much comfortable room service great bar service restaurant shoulb improve busy time specialy local guest food beverage price good value money nice place travel specialy lacal guest staff restaurant traet well,positive
53,hart kandynothing,positive
54,location good near lake temple like mins walk,positive
55,location hotel big positive comfortable room uninterrupted wifi service nearby restaurant open till pm big positive business travelers directly concern hotel hotel locate prime location kandy centre near lake peak hours morning even pm attract huge traffic block wait hours traffic peak hours reach hotel,neutral
56,good nice restaurantok,positive
57,like itnot,positive
58,every thing good staff usefullwas,positive
59,perfect position good breakfast nice roomnothing say,positive
60,good location marketwas,positive
61,price good decent place lay head frills decent breakfast,positive
63,staff friendly helpful locate city centre wake distance many attractive locations better improve park facility access park quite difficult good location travel public transport,positive
64,book three room make request room close hotel take request consideration beyond expectations room hygienic good since hotel city everything walk distance family enjoy stay hotel hope visit soon everything great complaints,positive
65,book book com receptionist answerd call plesant helpfull good welcome beautiful stay thank,positive
66,room cleanness goodstaff much supportive,neutral
67,superbwas,positive
68,locationwas,positive
69,great location staff friendly,positive
70,goodwashrooms eed renovate,neutral
71,location really good food excellent hard connect wi fi,neutral
72,location really convenientwas,positive
73,location perfect watch peraherathe buffet dinner pretty basic food rate charge expect special food,neutral
74,great convenient location hotel restaurant exceed expectations great food good ambience road lead car park quite narrow,neutral
75,location hotel situate good tourists attractions kandy c room worst make us uncomfortable light headache morning replace new one,neutral
76,breakfast value moneywas,positive
77,locationwas,positive
78,excellent location centre kandy able check early long flight room clean comfortable good value money leave front door lock seem like fire hazard staff around need make arrangements leave early speak staff night,positive
79,helpful staff tour driver cancel book london completely separate hotel due coronovirus norshan sorry get name wrong reception arrange car day take us tea plantation back breakfast good selection good location helpful staff much dislike,positive
80,location good reach main sightsee point foot staff friendly,positive
81,service staff good room clean book half board find food bar next door quite good choose limit menu lot choice breakfast particularly high standard compare place right center kandy walk everything quite noisy night traffic stop roadworks start bring ear plug unless guarantee room back hotel fridge work unless room power,neutral
82,location staffbooking com search room guests night select room check book adult room since start search adults end book room adults room upon reach hotel pay extra adults,positive
83,good location min walk temple tooth many bar restaurants hotel busy road room quiet room date basic clean everything need,positive
84,well locate hotel comfortable clean small balcony room opthe check service upon arrival pretty messy also wall quite thin could hear neighbor room tv noise troublesome though,neutral
85,location great tons restaurants nearby shop areas tourist spot layout seem like u need solve puzzle reach room,positive
86,simple buffet breakfast freshly cook omelettes room modern clean room quiet consider centre kandywas,positive
87,location hotel near everything twin bed move,positive
88,staff good locate center city room small price air conditioner bad work properly tv chanels work bath room small,neutral
89,locationbreakfast,neutral
90,manager robbie fantastic operator hotel great slightly busy area central kandy last drop coolest best value lion lager town could improve cable tv offer english speak guests,positive
91,centrally locate temple tooth relic good min walk breakfast decent slow wifi,neutral
92,hotel location near important place room nice nt eat hotel hotel food normally expensive hotels near kitchen smell hotel,neutral
93,location great ask quiet room book request meet room far corner away steer noise great night sleep morning step away train station lake temple breakfast biggest choice sri lanka stay similar budget accommodations great value money one thing double room two small towel big towel miss,positive
94,like location heart city restaurants walk distancethere wifi problem smell kitchen,neutral
95,room functional big breakfast vary bed comfortable choose hotel due location close train station road noisy although lot traffic general kandy believe would properties within centre,neutral
96,location best thing property air work wonderfully well room comfortable bed comfortable shower work well delightful front staff polite helpful also arrange trip convenient breakfast good enough sri lankan breakfast items foreigner would like try bath moldy bad odor emanate restaurant service worst experience sit service around p waiters keep us wait almost minutes waiter wait ask tea waive us away say tea rudely ask cake say none later newer waiter come fernando say tea cake finally arrive cake first deliberately bring us pot coffee end pay leave disgust waiters insult repeat guest accompany guest really leave bad taste hotel intend seek hotels visit kandy stay twice enough,neutral
97,room spacious clean also location nice main attractions minutes away really like possible pay card common sri lanka,positive
98,stay jan nice place stay mid town impress stay mid town location noise busy street outside lack green tree travel around sri lanka would say one best value monies hotels night say location quite clean comfortable especially compare lankian hotels example place good location mirissa per night obviously ocean pay night unawatuna place kandy least time better aspects overall comfort breakfast shower etc would recommend place want get better comfort rather night stay basic comfort noisy location busy street mid town swim pool,neutral
99,centralparking nightmare narrow entrance two vehicles pass one park behind another get call morning move car park front another person,neutral
100,staff helpful book train ticket us sell kandy one night location perfect us quick look around small amount time restaurant close go dinner plenty restaurants close grab something eat,positive
101,really good location staff helpful picture book com match actual room stay room small close bar next door night cigarette smoke would waft room pleasant,neutral
102,older property room clean spacious find everyone friendly three nights street face room choice noise disturbance kandy go bed early bar adjacent handy centre town minutes walk lake breakfast ok,positive
103,hospitality friendliness importantly location exactly citybreakfast could improve lot,positive
104,right middle town minutes walk restaurants bakeries entrance temple sacred tooth room small location big plus,neutral
105,location hotel sport bar attach hotel room felt bite small right city mostly room,neutral
106,restaurantwas,positive
107,ambeance cleanliness good location perfect aminities provide good daily clean great thing do stuff also good helpful back side room hotel direct access main entrance lift one go upstair two floor time room access lift main entrance annoy must lift back part hotel type harrassment boarders,neutral
108,location hotel value money last drop restaurantwas,positive
109,good locationall good,positive
110,location,positive
111,staff excellent friendly caringwalls bed head board clean stain,neutral
112,great location value money park,neutral
113,friendly staff,positive
114,attentive reception staff although one duty takeaway breakfast ready room comfortable perhaps bathroom could better lightedwas,positive
115,nice location good facilitiesthe bedsheets bite dirty,neutral
116,great location centre town pub downstairs bill back room everything need walk distance front reception staff argumentative ask pay higher price extra nights advertise online also demand book directly hotel via book com consequently check book much better price breakfast room empty staff non existent room okay need renovation refresh bite tire nothing really appeal,neutral
117,convenient location fair size room hot water shower water pressure good stay several time since heart city easy get well walk railway station room felt stuffy even ac could due persistent wet weather however wake headache really disappoint ml water bottle ask another bottle morning lady reception refuse say policy give water checkout suffer without drink water noon,neutral
118,near city center restaurants excellent place stay everything ok problem,positive
119,locationdust room floor,neutral
120,locationthe room bite small,neutral
121,like interior also location wise good park space front hotel cant even stop taxi street front get little far drag luggage,neutral
122,location center city access nearby place easily view outside window,positive
123,lovely staff good english felt safe need paint wall clean,neutral
124,great location heart kandy city close proximity important place courteous staff especially chaminda front desk value money book com give much better rate walk rat kandy perahera season peak season kandy bathrooms need attention,neutral
125,location best spacious roomsthere issue power,neutral
126,great location ants bed,neutral
127,locate city central easy accesswas,positive
128,good location close everythingone pillow need two pillow firm,neutral
129,midle kandy walk get everywhere breakfast could better,neutral
130,location excellent great brief stay comfortable bed good amenities friendly staff view room good rest recuperate linger shower area well seal water leak outside floor improvements would make great experience,neutral
131,good location nice breakfast room ok clean,neutral
132,location greatthe breakfast average didnt lot vegetarian options run late small room washroom lock work properly,neutral
134,hotel perfect location center market everything closeby temple tooth relic walk distance area felt safe n secure time visit srilanka attack much tourist hotel sparingly occupy staff still courteous staff member kitchen mean serve things brkfast also handle efficiently manager room clean n comfortable wud love stay like location much also indian restaurant closeby n good eat place tooo,positive
135,nice location middle city easy reach everywhere room good clean also staff friendly,positive
136,check around kind enough give us early check room nice comfortable c really noisy bathroom clean big enough ask two panadols say send room get overall recommend others noisy c staff members attentive,neutral
137,great staff helpful specially staff restaurant great location car park difficult access,neutral
138,awesome location easy access anywhere kandy great restaurent pub awesome hope stay,positive
139,town convenience meet expectationshouse keep improve,positive
140,great location see kandy offer clean room amenities e g air con fridge etc,positive
141,good staff nice comfortable room great pricewas,positive
142,good breakfastrooms small like phots,neutral
143,bed clean comfortable shower good temperature heat safe room location central room quiet hotel felt secure room dingy hole wall stain wall could use fresh set paint long time ago first floor room strangely locate take elevator second floor walk stairs towel old,neutral
144,staff good room clean food also good much noise,neutral
145,friendly helpful owners room right house work hard make stay super comfortable guests breakfast great cutest puppy play around definitely bonus,positive
146,floor plan bite strange though well locate clean good service toiletries extremely basic tiny bathroom hard access,neutral
147,centre kandy easy get comfy cleanwas quite noisy thats traffic outside cant really help,neutral
148,location wifi good also staff helpful bath also goodbreakfast variety poor also two day inform us guest set menu fruit tea coffee bread buffet spend money full buffet breakfast happy breakfast,neutral
149,clean room comfortable bed spacious room good television channel good air condition reception bell boy carry luggage room check check,positive
150,would recommend breakfast excellent location lovely room lovely strong hot shower good value moneywas,neutral
151,staff fabulous well clean food good service also good come next time also ac good enough cool next time want try room,positive
152,convenient place plan visit temple tooth relic walk distance hotel park available vehicles,neutral
153,location centre kandy near temple tooth lot facilities nd visit serve buffet breakfast addition freshly cook egg choice staff friendly accommodatingthe general areas look rather tire would benefit new carpet problem air conditioner leak rather badly however couple attempt manage fix,neutral
154,friendly staff good plsce centre kandywas,positive
155,good location great breakfast charge book com tax tell,neutral
156,good location,positive
157,hotel central locate templewas,positive
158,good location middle city hard go park staff friendly,neutral
159,location perfect heart kandy close temple station personnel helpful alleys room bite smelly food toilet bite old,neutral
160,toiletries limit eg facial tissue stay room suite king bed give options get rat think better rat overall would,negative
161,big tidy room great location centre kandy amaze staff nice helpful great breakfast din room clean,neutral
162,happy room good facilities clean quite spacious breakfast good location excellent staff helpful,positive
163,night reception guy good night reception guy good,negative
164,central location comfortable room decent value moneywhile clean think bathroom cleanliness could slightly better standard huge issue small point,neutral
165,location safety comfort price breakfast could include,positive
166,locationbad slow wifi,neutral
167,good locationwas,positive
168,comfortable enough cleanliness mould bathroom,neutral
169,friendly staff good location clean room comfortable,positive
170,location great bed comfortable room clean breakfast great ok,neutral
171,friendly staff good locationthe room bite dirty,neutral
172,location central loud due central location around night religious march drum pass wake us hotel bite tear need renovation,neutral
173,excellent location friendly staff apparently fancy place small insects washroom sheet clean small room,neutral
174,amaze location good comfy room good wifi amaze hot water breakfast great,neutral
175,comfortable clean good location room small,neutral
176,breakfast great coffee disgust seem water pour coffee grind,negative
177,goodno bath tub bath room,neutral
178,good location modern hotel room staff check bite indifferent welcome elsewhere stay bathroom smell nice,neutral
179,location friendly staffeverything ok price,positive
180,excellent location want centre kandy virtually traffic noise restaurant really pub serve food food beer reasonable price food good much better place centre kandy bar staff excellent consider deal mass english cricket supporters room quite small without armchair,neutral
181,everything goodwas,positive
182,location whole experience goodwas,positive
183,nice location center kandyno park,neutral
184,great location nice staff good room servicesthe place little dirty,neutral
185,room bathroom nice hot water staff friendly price laundry unnecessarily high,neutral
186,good location comfortable clam,positive
187,overall hotel good breakfast could better,neutral
188,good location despite busy road little noise hotelnot much atmosphere seem personal touch friendliness staff also leave luggage accident helpful try get back,negative
189,room clean tidy breakfast buffet good staff hotel bar friendly staff little impersonal area surround hotel scruffy,neutral
190,locationsmell corridors,neutral
191,locationparking,neutral
192,location comfortthe bar close pm,neutral
193,location fantastic great value money friendly staffnot good quality windows noise traffic felt like sleep street next road shower hoze break general room bite shabby compare rest hotel,neutral
194,central location value moneywas,positive
195,well locate town fridge never cold turn whenever leave room hotel room rough around edge,negative
196,easy access city friendly staff pay per night honest facilities beyond expectations,positive
197,staff friendly reception area small carry luggage room,neutral
198,comfortable bed good wifi ac walk distance number little coffee shop restaurants sit room clean housekeep every day hot water shower hot water bathroom sink,neutral
199,location excellent right centre good breakfast helpful porter excellent shower unlimited hot water good pressure wi fi work even complain tell us would arrange ticket us charge card without ask clean room coffee stain cupboard nasty stain curtain make mark bed,neutral
200,bite pricey place clean comfortablewas,neutral
201,great location nice room look better pics perfect night stay see peraheraexpensive breakfast lack smile reception,neutral
202,staff really welcome helpful sightsee suggestions speak good english support us telephone communications people speak english hotel position good minutes walk bus station minutes train station listen like one time every hour every hours machinery noise know night pleasant room small,neutral
203,like kandy much crowd pollute city reason difficult honestly rate hotel guess location allright wifi basically none exist stay hotel restaurant close due local holiday uh hello hotel mean cater guest year around,neutral
204,location great right city centre room comfortable nice hot shower staff also helpful,positive
205,location biggest plus property close attractions kandy walkable distance sacred tooth relic temple kandy market tuk tuk away buddha statue hill plan eat plenty options near hotel room pathway restaurant bar keep clean tidy helpful staff guess dont anything dislike one thing bathroom small one thing know water bottle room complimentary provide two per room per day stay one day next day ask water lady reception direct say provide one bottle per day understand water basic necessity ask bottle free could charge would object could handle request differently rather blunt rude,neutral
206,location service restaurant breakfastsome insects room explain window leave open room clean,positive
208,great location comfy bed nice breakfastcleanliness saw use towel hang bathroom door check cockroaches inside wardrobe bathroom,neutral
209,place locate right center town easy access everything tiny lift access many room,neutral
210,room clean conditionparking space,neutral
211,wish value money night stay kandy city explore history culture classic step local shop,positive
212,location hotel exactly heart city fare main attraction temple sacred tooth relic lake many shop vicinity hotel good cheap draft local beer restaurant hotel grind floor easy find alkohol shop city breakfast many choices food furniture room need refreshment vicinity street hotel little street noise especially early morning prepare night ear plug want sleep longer well,neutral
213,location nice rich breakfast safe box tv room entire st floor smell kitchen wifi work could faster,neutral
214,hotel great location really clean definitely hotel need renovate even though clean well everything look like use age include ac,positive
215,perfect locationwas,positive
216,locatie tourist area hotel top many stairs,neutral
217,location greatthey keep hotel clean,neutral
218,good location near centre city shower amazingthe room strange smell properly clean black hairs leave around sink stay much cheaper properties sri lanka nicer room staff nice helpful stay wall thin loud whilst try sleep also loud pump make noise every minutes throughout night make terrible sleep,neutral
219,location middle city friendly staff old furniture toilet seat scratch,neutral
220,bed comfortable good location friendly staff good breakfast restaurantwe saw cockroach bathroom maybe lucky,neutral
221,shower really good well locate room good size hbo ants everywhere room even bed get bite arm sleep food attach pub pricey sub par,neutral
222,kandy city areastaff treatments,neutral
223,good location nice room friendly staffbreakfast worth rupies,positive
224,location great central walk distance sight restaurants kandywe book two room one fine issue toilet flush properly bad odor sewage addition wall need clean appear noticeably dirty,neutral
225,time online reservation vs venue ware huge price hike pay extra k without know reason wifi extremely slow time unable connect,neutral
226,survey city walk hotel witness esala perahera walk find place sleep well water pump dont know lound noisy night room second floor,neutral
227,conveniently locate right middle city us ideal stay one night get train nuwara eliya next day get little noisy purpose cheap cheerful breakfast great location look stay kandy longer one night also deter people right middle city bite noisy recommend stay closer lake stay one night,neutral
228,locationnot enough car park,neutral
229,centrally locate close restaurants day activities small room noisy even due pub noisy early morning due traffic bathroom toilet odour come pip door need close air conditioner need clean,neutral
230,location bedthe route room confuse,neutral
231,breakfast serve guy nice accommodate grace place appear time abandon one receptionist reception restaurant fine place always buzz life room size bed size course,neutral
232,redeem factor reliable hot water water pressure staff helpful tooi see dead cockroaches room window spray pigeons droppings,neutral
233,location good stag kind hotel ok worth high pricewas,positive
234,well locate walk around lake visit tooth temple noisy difficulties sleep traffic noise roar engines claxon etc rather choose interior room,neutral
235,star war friendly love restaurant next hotel interior nice antique look room clean elevator work,neutral
236,staff friendly clean comfortable room mini bar available interior light good well think facilities available make coffee tea people clean bathrooms necessary supply good restaurant crowd bar cheerful environment location best everything within walk distance less km many restaurants kcc lake even temple tooth relic even though tv satellite channel nothing work local channel available hot water shower seem something wrong get mildly hot temperature matter try either hot cold,neutral
237,close city centre room spacious worth money spend everything perfect,positive
238,thank u kandy city hotel earl good staffwas,positive
239,convenient place close maligawa amenities helpful staff good restaurant offer tasty foods pub also attractive various foreign local liquor good rate value money hotel restaurant highly recommend anyone visit kandy,positive
240,location really idlewas,positive
241,small cute roomwas,positive
242,work staffi word explain service woww,positive
243,staybathroom,positive
244,order dinner room service day check want us pay deliver room ask post bill room day tire come far away small baby still ask us go reception pay contact f say ok simply common sense,negative
245,room clean comfortable worth money spend,positive
246,location great easy access town lovely staff make us stay memorable clean room neat fresh welcome juice lovely,positive
247,city hotel provide best facilities money spend staff friendly allow us early check upon request location make easy reach almost major tourist attractions kandy within short time small prvt park available highly recommend nothing much negative say,positive
248,good price location breakfastwas,positive
249,clean good breakfast perfect locationextra charge hotel,positive
250,hotel high standards excellent service perfect location downtown kandy great nights guarantee save legs walk hill bed shower everything perfect every aspects,positive
251,great service check inform late dinner provide course dinner room time arrive,positive
252,central location close many sight good breakfast egg cook order clean comfortable room,positive
253,everything fine,positive
254,good location value money staff particularly chatty clean room comfortable bedwas,positive
255,everything stay one nights perfect fantastic breakfast nice room bathroom good hotel bar nothing,positive
256,helpful staff huge bed great facilities breakfast amaze lot choicenothing,positive
257,staff helpful time arrive help us arrive earl dinner serve good never expect food bar also great also worth price,positive
258,room condition perfect foods great worth pay great,positive
259,great hotel amaze room clean perfect location friendly staff amaze value money wifi could faster overall miss anything,positive
260,worth money nice little hotelparking,positive
261,room clean specially bathroom design good get ta nice decent food menu feel like two time value price friendly staff main problem park actually get ta big park things hard reach park,neutral
262,nice hotel comfortable room locate right centre kandy good breakfast staff excellent,positive
263,staff key attentive guests need show require assistance like boom restaurant room service also great location show stealer east access city everything need exceed expectations expect rickety property since old room pleasant amenities,positive
264,friendly helpful staff clean comfortable room great breakfast value money drive much main entrance hotel park,positive
265,location staff excellent everything perfect,positive
266,staff friendly food tasty everyone work hotel helpful thank muchwas,positive
267,great location right centre kandy nice room nice breakfastair con brilliant room minor point work enough,neutral
268,nice place near city centerwas,positive
269,location middle everything room cosy,neutral
270,heart kandy back side hotel away business streets quiet relax nights near shop easy access temple tooth relic meal superb staff attentive park trouble unload load bag hotel staff helpful,neutral
271,breakfast good lot options clean friendly staffwas,positive
272,kandy city hotel one best place local forign visitors high price center kandy city book com date facility change facility enough trouble visitors,negative
273,everythingbreakfast,positive
274,breakfast buffet unfortunately however order something small room really good light room drawback,negative
275,walk distance train station minutes close plenty shop although find find somewhere nice eat struggle however hotel restaurant look good try room super clean comfy great shower staff friendly helpful even allow us later checkout,positive
276,breakfast enough local food one lift need step stairs roomswas,positive
277,central location large room great viewfurniture little shabby,neutral
278,location convenient near kandy lake staff helpful nice room comfortable breakfast good wait long time wifi work right,neutral
279,good stafftheres nothing mention,positive
280,good value money,positive
281,location greatwas,positive
282,location central room clean bathroom work room back super quiet sister one front bite noisier would recommend hotel happily stay restaurant attach hotel good fast service good quality food much,positive
283,great service staff nothing bother always friendly didnt meals coffeewas,positive
284,nice location centre kandy clean room amaze staffwas,positive
285,good room nice bed good shower standard continental local buffet bread croissant view interior courtyard noisy isolation corridor maximal avoid noisy neighbor,neutral
286,poor service restaurantwas,negative
287,staff amaze go way help hotel new great location nothing,positive
288,convenience cleanthe design build,neutral
289,comfortable toilet bite small hot water work,neutral
290,frequent business traveller kandy one best place stay kandy already stay time official visit,positive
291,everythingwas,positive
292,perfect location kandy close temple tooth,positive
293,lovely comfortable room beautiful n well clean also foods r delirious staff also good desiding come,positive
294,hotel near lake tooth relic temple water leak ac room could little cleanerwas,neutral
295,bed comfy great size shower bathroom good breakfast really friendly staff location good really good value money air con vent quite noisy however sure case every room,neutral
297,clean staff kind helpful good location shower nice strong,positive
298,great location centre kandy short walk lake temple sacred tooth relic staff kind helpful facilities clean comfortable nothing like,positive
299,fab stay thank,positive
300,friendly stuff nice restaurant perahera view room excellent nothing,positive
301,like location hotelmore choices breakfast food,positive
302,room good cleanthe staff worst care customers poor customer care,negative
303,staff service tv extra bed instead sofa,negative
304,room cleancar park road car park narrow crowd wifi elevator work,neutral
305,value money location convenientdinner arrange pub since get son months old dine room,positive
306,location fantastic hotel well cool clean restaurant smell fish constant hallways make distasteful reception friendly need work cordial restaurant waiters bathroom mold shower variety breakfast,neutral
307,room clean comfortable breakfast cold choice vegetarians,neutral
308,room ok food ok staff friendlythere proper car park busy area exhaust get recommend place anyone,neutral
309,good breakfastthe room look like photos seem like photo really old best time hotel go,neutral
310,nice breakfast selection central locationvery basic room take great photos advertise,neutral
311,location good middle city within walk distance sit customer service atrocious queue check staff available hallways leave litter dirty linen bag rubbish collect room room look nothing like photos room tiny bathrooms small turn sideways get pass basins room well maintain hole wall tear curtain,negative
312,everything quite ok staff extremely helpful polite housekeep guy go way help us room service deliver promptly food bad park nightmare next time visit kandy public transport intend stay also please advice staff fight raw sinhala filth kunuharupa thankfully guests foreigners may understand profanity huge argument shock scream bad language please ask staff sort problems enclose area away guests thank,neutral
313,location great walk distance kandy railway bus station city center temple tooth staff friendly service good check check quick easy room clean bed comfortable require amnesty available really good place overnight stay visit kandy room rather small understandable since city hotel dinner restaurant although food good little expensive consider portion size,positive
314,breakfast good room clean perfectly maintain within city restaurants shop walk distance good restaurant bar staff good good indian restaurant near vicinity wifi hotel total disaster slow wifi whenever complain wifi issue staff give one answer hotel completely full bullshit answer network issue inside room cab charge costly food costly hotel,neutral
315,location centre kandy within walk distance lake temple tooth book room bathrooms smelt really bad breakfast look taste tire,neutral
316,nice staff big bedsuper dirty problem old dirty find two coachroaches super noisy street,neutral
317,great location proximity kandy lake staff nice helpful loud room dirty bed sheet stain attach bar window open smoke courtyard bar loud unfortunately recommend hotel believe could get better value money hill side view,negative
318,nearby bar make lot noise people inside bar talk loudly drink disturb alot,negative
319,location spacious room ac tv wificleanliness bathrooms cockroaches run around,negative
320,location staff kind breakfast poor choice tv program one towel per person old tear ask second small towel man say give price high accomodation service,negative
321,food upto standardwas,negative
322,accommodation food satisfactory level staff friendly,negative
323,close attractionsthe picture must years old hotel room nothing like picture even ask pay arrive even see room wall dirty scratch floor bed bathroom also clean room humid one morning breakfast better get something outside renew something e g cheese could tell simple jam strong colour recommend although close attractions kandy,negative
324,person front office treat us lack care clear racism place appreciate,negative
325,good brekfaststaff rude,neutral
326,good location provide good tasty breakfast buffet asian western food hotel staff kind helpful good restaurant check time short enough get rm need go f come step twice complicate way many stairs although room non smoke still smoke smell come room room ventilation good smell like fungus enter room,neutral
327,mislead photos room clean enough hotel see better days,negative
328,staff friendly helpful break get soup dinner soft delicious location good minute walk temple tooth huge disappointment room dirty mean towel bed sheet everything else fabric bedside lamp wall shower little black mold stain tv remote much dirt definitely see picture dinner also let see nice menu room restaurant get choices bore food mean grill chicken pork chop spaghetti sri lanka least local option breakfast consist dry bread dry cheese disgust coffee pot totally black glass without coffee get fresh omelette ask staff tasty thing disappoint look nice picture,negative
329,location simple easycold shower little bug throughout bathroom,neutral
330,location every thing wrong depict internet even refuse provide dental shave kit basic toiletries every room food staff uncourteous label,negative
331,location right city center staff helpful friendly date dirty ish curtain look like see wash stain wall good want crash one night,neutral
332,location centre staffmeals really bad choice food late staff friendly helpful park also headache many street shop pack pettah,negative
333,good locationdoesn look like picture clean,negative
334,poor service hotel staff call service like tea bath towel upfront say busy reply hear everytime breakfast poor especially vegetarians idli stone like hard complain say choice food positive hotel centre location even provide blanket instead bedsheets,negative
335,breakfast good bar good room totally different picture damp smell room room worth pay pay,neutral
336,central easy access place interest railway station bus breakfast goodthere mosquitoes room fan noisy use repel mosquitoes front door security guard available go morning walk st nov,neutral
337,amaze location place need lot renovations old feel look clean know cheap better options better take cheap tuk tuk go center stay,negative
338,location greatwas extremely noisy room small,neutral
339,staff helpful breakfast goodthey charge us higher mention book com site,neutral
340,formalities short n simple bathroom smell n stinky furnitures cover dust n clean,negative
341,room clean street noise even though right main downtown street bathroom awful odor extremely small window look nothing common areas whole build maze,neutral
342,clean small cockroaches bathroom,negative
343,room ok comfortable toilet smelly bad smell prevail park arrangement inform us find impossible find park without assistance staff member,neutral
344,position comfortable bedthe bathroom need clean old door dirty fingerprint one towel person,neutral
345,location good sightsee though noisy crowdy arround clean linen warm shower breakfast absolutelly terrible worst ever experience around world c system old noisy even though keep windows doors close room full mosquitos accompany cocroaches expect eur per night,negative
346,dinner badmanager hospitality skills much good,negative
347,close city areavery small room,neutral
348,location hotel great close train station town walk distance lake temple tooth central market room stay serious need good scrub everything feel scruffy average buffet breakfast local dish,neutral
349,location perfect cockroaches bathroom clean room good isolate could hear whst say room,neutral
350,location really good thats itthe wi fi work wake drill sound didnt stop till staff start talk loud near room tax mention book com,neutral
351,food serve expectationwas,negative
352,location good near kandy lake clean allow vistor friend visit room even totally accpeted see bug toilet quite night know whats noise loud quite,neutral
353,worth money poor facilities tear bedsheet pillow cover old side bed uncomfortable pillow let sleep peacefully convenient place middle city close important place,negative
354,smelly bathroom showerwas,negative
